ts_utc,couples_online,total_online
2026-08-12T18:32:32+00:00,72,1125
2026-08-12T19:45:00+00:00,66,1215
2026-08-12T20:22:17+00:00,73,1367
2026-08-12T21:09:30+00:00,69,1355
2026-08-12T21:58:58+00:00,67,1357
2026-08-12T22:36:54+00:00,62,1270
2026-08-12T23:21:16+00:00,54,1099
2026-08-13T00:03:55+00:00,55,1062
2026-08-13T02:42:46+00:00,42,781
2026-08-13T04:29:04+00:00,53,870
2026-08-13T05:55:30+00:00,60,927
2026-08-13T07:07:44+00:00,56,1020
2026-08-13T08:40:55+00:00,58,1008
2026-08-13T09:45:11+00:00,58,1034
2026-08-13T10:49:07+00:00,41,948
2026-08-13T11:36:17+00:00,53,982
2026-08-13T12:30:01+00:00,52,1096
2026-08-13T13:57:29+00:00,64,1219
2026-08-13T14:51:22+00:00,73,1206
2026-08-13T15:45:12+00:00,76,1202
2026-08-13T16:41:47+00:00,71,1215
2026-08-13T17:39:30+00:00,70,1311
2026-08-13T18:33:52+00:00,75,1363
2026-08-13T19:41:10+00:00,74,1399
2026-08-13T20:17:50+00:00,82,1461
2026-08-13T21:09:26+00:00,100,1543
2026-08-13T21:58:54+00:00,94,1534
2026-08-13T22:38:00+00:00,85,1257
2026-08-13T23:22:44+00:00,71,1183
2026-08-14T00:03:37+00:00,65,1171
2026-08-14T02:41:26+00:00,42,786
2026-08-14T04:27:01+00:00,64,950
2026-08-14T05:52:30+00:00,68,1039
2026-08-14T07:02:23+00:00,68,1061
2026-08-14T08:35:22+00:00,64,1103
2026-08-14T09:40:35+00:00,58,1038
2026-08-14T10:37:50+00:00,59,994
2026-08-14T11:24:41+00:00,57,989
2026-08-14T12:02:53+00:00,54,976
2026-08-14T13:36:25+00:00,68,1257
2026-08-14T14:35:34+00:00,61,1173
2026-08-14T15:27:01+00:00,65,1245
2026-08-14T16:12:39+00:00,63,1277
2026-08-14T17:09:35+00:00,72,1287
2026-08-14T18:02:32+00:00,79,1302
2026-08-14T19:10:12+00:00,77,1324
2026-08-14T19:53:20+00:00,82,1416
2026-08-14T20:18:34+00:00,85,1465
2026-08-14T20:51:18+00:00,90,1489
2026-08-14T21:12:51+00:00,85,1476
2026-08-14T21:38:38+00:00,91,1480
2026-08-14T21:55:29+00:00,93,1461
2026-08-14T22:10:24+00:00,81,1406
2026-08-14T22:37:22+00:00,88,1378
2026-08-14T22:56:30+00:00,84,1333
2026-08-14T23:12:50+00:00,85,1305
2026-08-14T23:35:31+00:00,74,1235
2026-08-14T23:56:59+00:00,72,1228
2026-08-15T00:44:39+00:00,69,1167
